2014-02-26 11:38:04 Notice: Notice (8): Undefined index: name in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/views/hour_locations/edit.ctp, line 4]
2014-02-26 11:40:06 Notice: Notice (8): Undefined index: name in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/views/hour_locations/edit.ctp, line 4]
2014-02-26 11:46:00 Notice: Notice (8): Undefined index: name in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/views/hour_locations/edit.ctp, line 4]
2014-02-27 12:25:58 Notice: Notice (8): Undefined variable: hourdays in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/controllers/hour_groupings_controller.php, line 232]
2014-02-27 12:25:58 Notice: Notice (8): Undefined variable: hourdays in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/controllers/hour_groupings_controller.php, line 247]
2014-02-27 12:26:14 Notice: Notice (8): Undefined variable: hourdays in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/controllers/hour_groupings_controller.php, line 232]
2014-02-27 12:26:14 Notice: Notice (8): Undefined variable: hourdays in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/controllers/hour_groupings_controller.php, line 247]
2014-02-27 13:08:22 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/views/layouts/default.ctp, line 79]
2014-02-27 13:08:45 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/LibraryHoursLocations/hours_admin/app/views/layouts/default.ctp, line 79]
2014-03-03 10:19:23 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 79]
2014-03-03 10:19:29 Notice: Notice (8): Undefined variable: reference_hours in [/var/www/sites/hours.library.ualberta.ca/docroot/hours_admin/app/views/layouts/default.ctp, line 79]
